id,date,weekday,description
1,2021-01-01,周五,元旦
2,2021-01-02,周六,元旦
3,2021-01-03,周日,元旦
4,2021-01-04,周一,工作日
5,2021-01-05,周二,工作日
6,2021-01-06,周三,工作日
7,2021-01-07,周四,工作日
8,2021-01-08,周五,工作日
9,2021-01-09,周六,周末
10,2021-01-10,周日,周末
11,2021-01-11,周一,工作日
12,2021-01-12,周二,工作日
13,2021-01-13,周三,工作日
14,2021-01-14,周四,工作日
15,2021-01-15,周五,工作日
16,2021-01-16,周六,周末
17,2021-01-17,周日,周末
18,2021-01-18,周一,工作日
19,2021-01-19,周二,工作日
20,2021-01-20,周三,工作日
21,2021-01-21,周四,工作日
22,2021-01-22,周五,工作日
23,2021-01-23,周六,周末
24,2021-01-24,周日,周末
25,2021-01-25,周一,工作日
26,2021-01-26,周二,工作日
27,2021-01-27,周三,工作日
28,2021-01-28,周四,工作日
29,2021-01-29,周五,工作日
30,2021-01-30,周六,周末
31,2021-01-31,周日,周末
32,2021-02-01,周一,工作日
33,2021-02-02,周二,工作日
34,2021-02-03,周三,工作日
35,2021-02-04,周四,工作日
36,2021-02-05,周五,工作日
37,2021-02-06,周六,周末
38,2021-02-07,周日,春节
39,2021-02-08,周一,工作日
40,2021-02-09,周二,工作日
41,2021-02-10,周三,工作日
42,2021-02-11,周四,春节
43,2021-02-12,周五,春节
44,2021-02-13,周六,春节
45,2021-02-14,周日,春节
46,2021-02-15,周一,春节
47,2021-02-16,周二,春节
48,2021-02-17,周三,春节
49,2021-02-18,周四,工作日
50,2021-02-19,周五,工作日
51,2021-02-20,周六,春节
52,2021-02-21,周日,周末
53,2021-02-22,周一,工作日
54,2021-02-23,周二,工作日
55,2021-02-24,周三,工作日
56,2021-02-25,周四,工作日
57,2021-02-26,周五,工作日
58,2021-02-27,周六,周末
59,2021-02-28,周日,周末
60,2021-03-01,周一,工作日
61,2021-03-02,周二,工作日
62,2021-03-03,周三,工作日
63,2021-03-04,周四,工作日
64,2021-03-05,周五,工作日
65,2021-03-06,周六,周末
66,2021-03-07,周日,周末
67,2021-03-08,周一,"工作日,妇女节"
68,2021-03-09,周二,工作日
69,2021-03-10,周三,工作日
70,2021-03-11,周四,工作日
71,2021-03-12,周五,工作日
72,2021-03-13,周六,周末
73,2021-03-14,周日,周末
74,2021-03-15,周一,工作日
75,2021-03-16,周二,工作日
76,2021-03-17,周三,工作日
77,2021-03-18,周四,工作日
78,2021-03-19,周五,工作日
79,2021-03-20,周六,周末
80,2021-03-21,周日,周末
81,2021-03-22,周一,工作日
82,2021-03-23,周二,工作日
83,2021-03-24,周三,工作日
84,2021-03-25,周四,工作日
85,2021-03-26,周五,工作日
86,2021-03-27,周六,周末
87,2021-03-28,周日,周末
88,2021-03-29,周一,工作日
89,2021-03-30,周二,工作日
90,2021-03-31,周三,工作日
91,2021-04-01,周四,工作日
92,2021-04-02,周五,工作日
93,2021-04-03,周六,清明节
94,2021-04-04,周日,清明节
95,2021-04-05,周一,清明节
96,2021-04-06,周二,工作日
97,2021-04-07,周三,工作日
98,2021-04-08,周四,工作日
99,2021-04-09,周五,工作日
100,2021-04-10,周六,周末
101,2021-04-11,周日,周末
102,2021-04-12,周一,工作日
103,2021-04-13,周二,工作日
104,2021-04-14,周三,工作日
105,2021-04-15,周四,工作日
106,2021-04-16,周五,工作日
107,2021-04-17,周六,周末
108,2021-04-18,周日,周末
109,2021-04-19,周一,工作日
110,2021-04-20,周二,工作日
111,2021-04-21,周三,工作日
112,2021-04-22,周四,工作日
113,2021-04-23,周五,工作日
114,2021-04-24,周六,周末
115,2021-04-25,周日,劳动节
116,2021-04-26,周一,工作日
117,2021-04-27,周二,工作日
118,2021-04-28,周三,工作日
119,2021-04-29,周四,工作日
120,2021-04-30,周五,工作日
121,2021-05-01,周六,劳动节
122,2021-05-02,周日,劳动节
123,2021-05-03,周一,劳动节
124,2021-05-04,周二,劳动节
125,2021-05-05,周三,劳动节
126,2021-05-06,周四,工作日
127,2021-05-07,周五,工作日
128,2021-05-08,周六,劳动节
129,2021-05-09,周日,周末
130,2021-05-10,周一,工作日
131,2021-05-11,周二,工作日
132,2021-05-12,周三,工作日
133,2021-05-13,周四,工作日
134,2021-05-14,周五,工作日
135,2021-05-15,周六,周末
136,2021-05-16,周日,周末
137,2021-05-17,周一,工作日
138,2021-05-18,周二,工作日
139,2021-05-19,周三,工作日
140,2021-05-20,周四,工作日
141,2021-05-21,周五,工作日
142,2021-05-22,周六,周末
143,2021-05-23,周日,周末
144,2021-05-24,周一,工作日
145,2021-05-25,周二,工作日
146,2021-05-26,周三,工作日
147,2021-05-27,周四,工作日
148,2021-05-28,周五,工作日
149,2021-05-29,周六,周末
150,2021-05-30,周日,周末
151,2021-05-31,周一,工作日
152,2021-06-01,周二,工作日
153,2021-06-02,周三,工作日
154,2021-06-03,周四,工作日
155,2021-06-04,周五,工作日
156,2021-06-05,周六,周末
157,2021-06-06,周日,周末
158,2021-06-07,周一,工作日
159,2021-06-08,周二,工作日
160,2021-06-09,周三,工作日
161,2021-06-10,周四,工作日
162,2021-06-11,周五,工作日
163,2021-06-12,周六,端午节
164,2021-06-13,周日,端午节
165,2021-06-14,周一,端午节
166,2021-06-15,周二,工作日
167,2021-06-16,周三,工作日
168,2021-06-17,周四,工作日
169,2021-06-18,周五,工作日
170,2021-06-19,周六,周末
171,2021-06-20,周日,周末
172,2021-06-21,周一,工作日
173,2021-06-22,周二,工作日
174,2021-06-23,周三,工作日
175,2021-06-24,周四,工作日
176,2021-06-25,周五,工作日
177,2021-06-26,周六,周末
